id, code, name, rusname, continentid
1,"R01500","Moldova Lei","Молдавский Лей",4
2,"R01235","US Dollar","Доллар США",5
3,"R01810","S.African Rand","Южноафриканский Рэнд",1
4,"R01710","New Turkmenistan Manat","Новый Туркменский Манат",2
5,"R01670","Tajikistan Ruble","Таджикский Рубль",2
6,"R01010","Australian Dollar","Австралийский Доллар",3
7,"R01015","Austrian Shilling","Австрийский Шиллинг",4
8,"R01035","British Pound Sterling","Великобританский Фунт Стерлинга",4
9,"R01040","Angolan new Kwanza","Ангольская новая кванза",1
10,"R01060","Armenia Dram","Армянский драм",2
11,"R01090","Belarussian Ruble","Белорусский рубль",4
12,"R01095","Belgium Franc","Бельгийский франк",4
13,"R01100","Bulgarian lev","Болгарский лев",4
14,"R01115","Brazil Real","Бразильский реал",6
15,"R01135","Hungarian Forint","Венгерский форинт",4
16,"R01205","Greek Drachma","Греческая драхма",4
17,"R01215","Danish Krone","Датская крона",4
18,"R01239","Euro","Евро",4
19,"R01270","Indian Rupee","Индийская рупия",2
20,"R01305","Irish Pound","Ирландский фунт",4
21,"R01310","Iceland Krona","Исландская крона",4
22,"R01315","Spanish Peseta","Испанская песета",4
23,"R01325","Italian Lira","Итальянская лира",4
24,"R01335","Kazakh Tenge","Казахский тенге",2
25,"R01350","Canadian Dollar","Канадский доллар",5
26,"R01370","Kyrgyzstan Som","Киргизский сом",2
27,"R01375","China Yuan","Китайский юань",2
28,"R01390","Kuwaiti Dinar","Кувейтский динар",2
29,"R01405","Latvian Lat","Латвийский лат",4
30,"R01420","Lebanese Pound","Ливанский фунт",2
31,"R01435","Lithuanian Lita","Литовский лит",4
32,"R01510","Deutsche Mark","Немецкая марка",4
33,"R01523","Netherlands Gulden","Нидерландский гульден",4
34,"R01535","Norwegian Krone","Норвежская крона",4
35,"R01565","Polish Zloty","Польский злотый",4
36,"R01570","Portuguese Escudo","Португальский эскудо",4
37,"R01585","Romanian Leu","Румынский лей",4
38,"R01589","SDR","СДР (спец. права заимствования)",2
39,"R01625","Singapore Dollar","Сингапурский доллар",2
40,"R01665","Surinam Dollar","Суринамский доллар",6
41,"R01700","Turkish Lira","Турецкая лира",4
42,"R01717","Uzbekistan Sum","Узбекский сум",2
43,"R01720","Ukrainian Hryvnia","Украинская гривна",4
44,"R01740","Finnish Marka","Финляндская марка",4
45,"R01750","French Franc","Французский франк",4
46,"R01760","Czech Koruna","Чешская крона",4
47,"R01770","Swedish Krona","Шведская крона",4
48,"R01775","Swiss Franc","Швейцарский франк",4
49,"R01790","ECU","ЭКЮ (европ. валютная единица)",4
50,"R01795","Estonian Kroon","Эстонская крона",4
51,"R01804","Serbian Dinar","Сербский динар",4
52,"R01815","South Korean Won","Вон Республики Корея",2
53,"R01820","Japanese Yen","Японская иена",2
54,"R01498","Mozambique Metical","Мозамбикский метикал",1
55,"R01233","New Zimbabwe dollar","Зимбабвийский доллар",2
56,"R01660","Sudanese Pound","Суданский фунт",1
57,"R01165","Ghana Cedi","Ганский седи",1
58,"R01145","North Korean Won","Вон КНДР",2
59,"R01714","Ugandan Shilling","Угандийский шиллинг",1
60,"R01675","Thai Baht","Тайский бахт",2
61,"R01020","Azerbaijan Manat","Таиландский бат",2
62,"R01025","Albanian Lek","Албанский лек",4
63,"R01030","Algerian Dinar","Алжирский динар",1
64,"R01055","Argentine Peso","Аргентинское песо",6
65,"R01065","Afghanistan Afgani","Афганский афгани",2
66,"R01080","Bahraini Dinar","Бахрейнский динар",2
67,"R01105","Bolivian Boliviano","Боливийский боливиано",6
68,"R01110","Botswana Pula","Ботсванская пула",1
69,"R01111","Brunei Dollar","Брунейский доллар",2
70,"R01120","Burundi Franc","Бурундийский франк",1
71,"R01140","Venezuela Bolivar Fuerte","Венесуэльский боливар фуэрте",6
72,"R01150","Vietnam Dong","Вьетнамский донг",2
73,"R01160","Gambian Dalasi","Гамбийский даласи",1
74,"R01175","Guinea Franc","Гвинейский франк",1
75,"R01200","Hong Kong Dollar","Гонконгский доллар",2
76,"R01210","Georgia Lari","Грузинский лари",4
77,"R01230","UAE Dirham","Дирхам ОАЭ",2
78,"R01240","Egyptian Pound","Египетский фунт",1
79,"R01245","Congo (Dem.Rep.) Zaire","Заир ДРК",1
80,"R01250","Zambian Kwacha","Замбийская квача",1
81,"R01265","Izraeli Shekel","Израильский шекель",2
82,"R01280","Indonesian Rupiah","Индонезийская рупия",2
83,"R01285","Jordanian Dinar","Иорданский динар",2
84,"R01290","Iraqi Dinar","Иракский динар",2
85,"R01300","Iranian Rial","Иранский риал",2
86,"R01330","Yemeni Rial","Йеменский риал",2
87,"R01355","Qatari Riyal","Катарский риал",2
88,"R01360","Kenyan Shilling","Кенийский шиллинг",1
89,"R01365","Cypriot Pound","Кипрский фунт",4
90,"R01380","Colombian Peso","Колумбийский песо",6
91,"R01383","Congolese franc","Конголезский франк",1
92,"R01385","Costa Rican colon","Костариканский колон",6
93,"R01395","Cuban peso","Кубинское песо",6
94,"R01400","Laos new Kip","Лаосский кип",2
95,"R01410","Sierra Leone Leone","Леоне Сьерра-Леоне",1
96,"R01425","Libyan Dinar","Ливийский динар",1
97,"R01430","Swaziland Lilangeni","Лилангени Свазиленда",6
98,"R01445","Mauritius Rupee","Маврикийская рупия",1
99,"R01450","Mauritania Ouguiya","Мавританская угия",1
100,"R01460","Macedonia Denar","Македонский динар",4
101,"R01465","Malawi Kwacha","Малавийская квача",1
102,"R01470","Malagasy ariary","Малагасийский ариари",1
103,"R01475","Malaysian Ringgit","Малайзийский ринггит",2
104,"R01480","Maltese Lira","Мальтийская лира",4
105,"R01485","Moroccan Dirham","Марокканский дирхам",1
106,"R01495","Mexican Peso","Мексиканский песо",5
107,"R01503","Mongolia Tugrik","Монгольский тугрик",2
108,"R01515","Nepal Ruppe","Непальская рупия",2
109,"R01520","Nigeria Naira","Нигерийский найр",1
110,"R01525","Nicaragua Cordoba","Никарагуанская золотая кордоба",6
111,"R01530","New Zealand Dollar","Новозеландский доллар",3
112,"R01540","Omani Rial","Оманский риал",2
113,"R01545","Pakistani Rupee","Пакистанская рупия",2
114,"R01555","Paraguay Guarani","Парагвайская гуарани",6
115,"R01560","Peruviann new Sol","Перуанский новый соль",6
116,"R01575","Cambodia Riel","Риель Камбоджи",2
117,"R01580","Saudi Riyal","Саудовский риял",2
118,"R01595","Seychelles Rupee","Сейшельская рупия",1
119,"R01630","Syrian Pound","Сирийский фунт",2
120,"R01635","Slovakia Koruna","Словацкая крона",4
121,"R01640","Slovenia Tolar","Словенский толар",4
122,"R01650","Somali Schilling","Сомалийский шиллинг",1
123,"R01680","Taiwan Dollar","Тайваньский доллар",2
124,"R01685","Bangladesh Taka","Так Бангладеш",2
125,"R01690","Tanzanian Shilling","Танзанийский шиллинг",1
126,"R01695","Tunisian Dinar","Тунисский динар",1
127,"R01725","Uruguay Peso","Уругвайское песо",6
128,"R01743","Philippines Peso","Филиппинское песо",2
129,"R01746","Djobouti Franc","Франк Джибути",1
130,"R01748","CFA frank BEAC","Франк КФА ВЕАС",1
131,"R01749","CFA frank BCEAO","Франк КФА ВСЕАО",1
132,"R01755","Croatian Kuna","Хорватская куна",4
133,"R01765","Chilean Peso","Чилийское песо",6
134,"R01780","Sri Lankan Rupee","Шри-Ланкийская рупия",2
135,"R01785","Ecuadoran Sucre","Эквадорский сукре",6
136,"R01800","Ethiopian Birr","Эфиопский быр",1
137,"R02004","Namibian dollar","Доллар Намибии",1
